title,originallink,link,description,pubDate
"외교부, 일본대사에 “네이버 압력 없어야”",http://www.fnnews.com/news/202405171137242703,https://n.news.naver.com/mnews/article/014/0005186627?sid=100,"우리 <b>정부</b>의 입장을 전달했다. 외교부에 따르면, 강 차관은 이날 미바에 대사대리와 면담을 갖고 일본 <b>정부</b>의 라인야후 행정지도를 두고 우리 <b>정부</b>의 확고한 입장으로서 “일본에서 경제활동을 전개하는 우리 기업에 대한... ","Fri, 17 May 2024 11:47:00 +0900"
의대 증원 '탄력'…의료 공백은 '지속',https://biz.sbs.co.kr/article_hub/20000171921?division=NAVER,https://n.news.naver.com/mnews/article/374/0000384008?sid=103,<b>정부</b>는 &quot;의대 정원을 이제라도 늘려서 무너져가는 지역·필수의료를 살리고 지역 간 격차를 줄여가겠다&quot;며 &quot;지역에서 배출한 의사가 지역의 필수의료 분야에 오랫동안 일할 수 있도록 지원하겠다&quot;고 강조했습니다. [앵커]... ,"Fri, 17 May 2024 11:47:00 +0900"
"FTA 20년, 더 커진 농축산업[오후여담]",https://www.munhwa.com/news/view.html?no=2024051701033011000001,https://n.news.naver.com/mnews/article/021/0002637779?sid=110,"이런 와중에 국회 제1당인 더불어민주당은 <b>정부</b>가 남는 쌀을 의무적으로 추가 매입하도록 하는 양곡관리법, 농산물 가격 보장을 핵심으로 한 농안법 개정안을 재추진하고 있다. 대통령이 거부권을 행사했던 법안을 다시... ","Fri, 17 May 2024 11:47:00 +0900"
이스라엘 “하마스가 납치한 태국인 인질 2명 사망”,https://news.heraldcorp.com/view.php?ud=20240517050453,https://n.news.naver.com/mnews/article/016/0002310034?sid=104,태국 외교부는 성명을 통해 “이스라엘 <b>정부</b>로부터 가용한 증거를 고려한 결과 인질 명단에 있던 태국인 중... 지난해 10월 이후 태국 <b>정부</b>는 공군기 등을 동원해 귀국을 원하는 노동자 약 8000명을 본국으로 대피시켰으나... ,"Fri, 17 May 2024 11:47:00 +0900"
"이재명, 28일 전세사기특별법 통과 의지 보여",https://kizmom.hankyung.com/news/view.html?aid=202405175129o,https://kizmom.hankyung.com/news/view.html?aid=202405175129o,이 대표는 국회에서 열린 최고위원회의에서 이같이 말하고 &quot;<b>정부</b> 여당도 개정안 통과에 협조해야 한다.... 이 대표는 &quot;<b>정부</b> 대책에 실망해서 세상을 등진 첫 희생자가 나온 지 1년 3개월 만에 여덟 번째 희생자가 나왔다&quot;며... ,"Fri, 17 May 2024 11:46:00 +0900"
[의료대란] '빅5' 병원 전임의 계약률 &quot;70% 넘어&quot;,https://www.asiatoday.co.kr/view.php?key=20240517010008431,https://www.asiatoday.co.kr/view.php?key=20240517010008431,중앙응급의료센터 종합상황판에 안과·산부인과·외과 등 일부 중증·응급질환에 대한 진료제한 메시지를 표출한 기관은 전주에 비해 2곳이 증가한 18개소다.한편 <b>정부</b>는 의료개혁 4대과제의 이행에 더욱 속도를 낼... ,"Fri, 17 May 2024 11:46:00 +0900"
"<b>정부</b>, 법원 결정 다음날…&quot;의·정 갈등 조속히 매듭&quot;",https://www.dailypharm.com/Users/News/NewsView.html?ID=311709&REFERER=NP,https://www.dailypharm.com/Users/News/NewsView.html?ID=311709&REFERER=NP,법원의 '의대증원 처분 집행정지' 각하·기각 결정 다음날 <b>정부</b>는 의료개혁을 성공적으로 완수하겠다는... 전 통제관은 &quot;앞으로 <b>정부</b>는 입시를 준비하는 학생과 학부모들에게 더 이상의 혼란이 없도록 2025학년도 대학입시... ,"Fri, 17 May 2024 11:46:00 +0900"
노동개혁은 더 나은 미래를 위한 전진[문화논단],https://www.munhwa.com/news/view.html?no=2024051701032911000002,https://n.news.naver.com/mnews/article/021/0002637777?sid=110,그동안 노동시장의 불공정한 격차 해소와 약자 보호라는 노동개혁의 핵심 기조 아래서 <b>정부</b>가 끊임없이 노력했음에도 현장에서 체감하는 변화를 끌어내는 데는 부족했다는 안타까움이었다. 윤 <b>정부</b>는 지난 2년 동안... ,"Fri, 17 May 2024 11:46:00 +0900"
<b>정부</b> &quot;학생·학부모 혼란 없도록 대입 절차 조속히 마무리&quot;,https://www.newsworks.co.kr/news/articleView.html?idxno=753184,https://www.newsworks.co.kr/news/articleView.html?idxno=753184,전 실장은 17일 <b>정부</b>세종청사에서 진행한 의사 집단행동 중대본 회의 브리핑에서 이같이 언급하며 &quot;<b>정부</b>는 입시를 준비하는 학생과 학부모에게 더 이상 혼란이 없도록 2025학년도 대학입시 관련 절차를 조속히 마무리... ,"Fri, 17 May 2024 11:46:00 +0900"
[알림] 헤럴드 에코포럼 2024 ‘에너지 대전환’,https://news.heraldcorp.com/view.php?ud=20240517050439,https://n.news.naver.com/mnews/article/016/0002310032?sid=102,"▶관련기사 4면 이번 포럼은 〈The Transition: Blue, Clean, and Green〉이라는 주제 하에 ‘지속가능한 성장을 위한 에너지 대전환’을 목표로 <b>정부</b>, 기관, 시민, 활동가 등 다양한 시각의 이해관계자들의 모여... ","Fri, 17 May 2024 11:46:00 +0900"
"셀트리온 인플릭시맙 SC제형, 브라질 공공의료 시스템 등록 권고",https://www.econovill.com/news/articleView.html?idxno=655083,https://www.econovill.com/news/articleView.html?idxno=655083,셀트리온은 최근 브라질 보건부 산하 기술위원회에서 연방<b>정부</b> 공공의료 시스템에 인플릭시맙 피하주사(SC)... 브라질 <b>정부</b>가 보건 의료의 질 향상과 환자의 치료 접근성 강화를 위해 인플릭시맙 SC제형 치료제가... ,"Fri, 17 May 2024 11:46:00 +0900"
강석진 중진공 이사장 “차세대 원전 기술 확보 위해 지원 총력”,http://www.sentv.co.kr/news/view/686391,http://www.sentv.co.kr/news/view/686391,"김민호 나다 대표는 “한국 경제의 고도성장을 견인해 온 원자력 발전은 향후 4차 산업혁명 시대를 이끌어갈 청정에너지이자, 에너지 안보를 책임질 핵심 산업”이라며, “원전 협력 중소기업 육성을 위한 <b>정부</b>의... ","Fri, 17 May 2024 11:46:00 +0900"
<b>정부</b> &quot;근무 전공의 1주새 20명 늘어…병원으로 돌아와달라&quot;,http://tbs.seoul.kr/news/newsView.do?typ_800=6&idx_800=3521704&seq_800=20514508,http://tbs.seoul.kr/news/newsView.do?typ_800=6&idx_800=3521704&seq_800=20514508,의료 현장으로 복귀하는 전공의들이 소폭이나마 늘고 있는 가운데 <b>정부</b>가 조속한 복귀를 재차... <b>정부</b>는 의료계의 의대 증원 집행정지 항고심 사건에 대해 전날 법원이 각하와 기각의 결정을 내린 데 따라 신속하게 증원... ,"Fri, 17 May 2024 11:46:00 +0900"
"누벨칼레도니 유혈소요 나흘째 계속…佛, 병력 증원·틱톡 차단",https://www.yna.co.kr/view/AKR20240517068500104?input=1195m,https://n.news.naver.com/mnews/article/001/0014692460?sid=104,"이에 틱톡 측은 성명을 통해 &quot;유감스럽다&quot;며 &quot;현지 당국이나 프랑스 <b>정부</b>로부터 어떠한 요청이나 질문도 없었다&quot;고 밝혔다. 누벨칼레도니 상공회의소(CCI) 측은 이번 사태로 상점에서 창고, 도매상에 이르기까지 식료품... ","Fri, 17 May 2024 11:46:00 +0900"
"전공의, 일주일 새 20여명 복귀… 전임의 계약률도 증가(상보)",https://www.moneys.co.kr/article/2024051711125529745,https://n.news.naver.com/mnews/article/417/0001002971?sid=102,전병왕 보건복지부 보건의료정책실장은 17일 오전 <b>정부</b>세종청사에서 의사 집단행동 중앙재난안전대책본부... <b>정부</b>는 입시를 준비하는 학생과 학부모들에게 더 이상의 혼란이 없도록 2025학년도 대학입시 관련 절차를... ,"Fri, 17 May 2024 11:45:00 +0900"
''빅5' 병원 전임의 계약률 70.5%&quot;…의료 정상화 숨통 트이나,http://news.mt.co.kr/mtview.php?no=2024051711403530892,https://n.news.naver.com/mnews/article/008/0005039155?sid=101,"전병왕 중앙재난안전대책본부 제1통제관(보건복지부 보건의료정책실장)은 17일 <b>정부</b>세종청사에서 진행된... <b>정부</b>는 전날 서울고등법원에서 의대교수, 전공의, 의대생, 수험생 등 18명이 제기한 집행정지 항고심 사건 관련... ","Fri, 17 May 2024 11:45:00 +0900"
&quot;숭고한 희생정신&quot; 44주년 5·18 민주화운동 추모식 엄수,https://www.yna.co.kr/view/AKR20240517069400054?input=1195m,https://n.news.naver.com/mnews/article/001/0014692454?sid=102,"<b>정부</b> 주관 5·18 기념식에 하루 앞서 이날 1부 희생자 제례·2부 추모식으로 나눠 열렸다. 제례는 양재혁 5·18 유족회장, 윤남식 5·18 공로자회장, 문준희 5·18 유족회 광주시지부장이 각각 초헌·아헌·종헌을 맡아... ","Fri, 17 May 2024 11:44:00 +0900"
"국가유산청 출범 기념, 익산 미륵사 중문(中門) 디지털 실감콘텐츠 체험 본격...",http://www.tournews21.com/news/articleView.html?idxno=70868,http://www.tournews21.com/news/articleView.html?idxno=70868,익산 미륵사지의 디지털 복원은 지난 2022년 새 <b>정부</b>가 출범하며 국정과제로 채택됐다. 이에 문화재청 국립문화재연구원은 지난해 미륵사 중문을 증강현실기술을 통해 실감형 콘텐츠로 복원했다. '스마트글래스와... ,"Fri, 17 May 2024 11:44:00 +0900"
국내 협동조합 절반은 '개점휴업'…서울·경기에 40% 집중,http://www.kookje.co.kr/news2011/asp/newsbody.asp?code=0200&key=20240517.99099004849,https://n.news.naver.com/mnews/article/658/0000073853?sid=101,"기획재<b>정부</b>는 이런 내용이 담긴 ‘제6차 협동조합 실태조사 결과’ 자료를 17일 발표했다. <b>정부</b>는 협동조합의 활동 현황 및 자금, 인력·경영 등에 관한 실태 파악을 위해 ‘협동조합 기본법’에 따라... ","Fri, 17 May 2024 11:44:00 +0900"
해양환경단체 &quot;日 <b>정부</b> 참고래 상업포경 결정 규탄&quot;,https://www.newsclaim.co.kr/news/articleView.html?idxno=3031134,https://www.newsclaim.co.kr/news/articleView.html?idxno=3031134,핫핑크돌핀스는 17일 오전 제주시 노형동 일본총영사관 앞에서 기자회견을 열고 &quot;일본 <b>정부</b>의 참고래... 핫핑크돌핀스는 한국 <b>정부</b>에도 &quot;일본에 참고래 상업포경 결정에 항의했다는 보도가 전혀 없는 것으로 보아 한국은... ,"Fri, 17 May 2024 11:44:00 +0900"
"[사설] 새 국회의장에 우원식, 원 구성 협상부터 리더십 발휘해야",https://vop.co.kr/A00001653809.html,https://vop.co.kr/A00001653809.html,오히려 중요한 건 우 후보가 새로운 정치 관례를 창출하면서 집권 하반기에 접어드는 윤석열 <b>정부</b>와의... 따라서 이제부터의 행<b>정부</b>입법부 관계는 과거의 관례만을 따르기는 어려울 것이다. 행<b>정부</b>입법부의 구성에 대한... ,"Fri, 17 May 2024 11:44:00 +0900"
셀트리온 &quot;브라질서 인플릭시맙 SC 품목 등록 승인 권고&quot;,https://www.mediapen.com/news/view/920210,https://www.mediapen.com/news/view/920210,셀트리온은 브라질 보건부 산하 기술위원회가 연방<b>정부</b> 공공의료 시스템에 인플릭시맙 성분 피하주사(SC) 제형 치료제를 신규 품목으로 등록하는 안건을 승인 권고했다고 17일 밝혔다. 셀트리온의 자가면역질환 치료제... ,"Fri, 17 May 2024 11:44:00 +0900"
"이재명 &quot;전세사기법, 28일 반드시 통과시킬 것&quot;",https://daily.hankooki.com/news/articleView.html?idxno=1085208,https://daily.hankooki.com/news/articleView.html?idxno=1085208,이 대표는 &quot;<b>정부</b> 대책에 실망해서 세상을 등진 첫 희생자가 나온 지 1년 3개월 만에 여덟 번째 희생자가 나왔다&quot;며 &quot;긴 시간 동안 <b>정부</b>는 대책을 마련하는 것 대신에 국회의 개정안마저 거부해왔다&quot;고 지적했다. 박상우... ,"Fri, 17 May 2024 11:44:00 +0900"
"'반도체 강국' 대만에 에너지 위기 떠올라, 친환경 정책이 전력공급 불안 키워",https://www.businesspost.co.kr/BP?command=article_view&num=352520,https://www.businesspost.co.kr/BP?command=article_view&num=352520,대만 <b>정부</b>가 친환경 에너지 전환 정책을 적극 추진하고 있지만 전력공급 불안 문제로 어려움을 겪을 것이라는 예측이 나온다. 대만 타이중에 위치한 대만전력공사 발전소 사진. 대만 <b>정부</b>가 신재생에너지 발전 비중을... ,"Fri, 17 May 2024 11:44:00 +0900"
"北 김여정, 대러 수출 부정하며 &quot;무기 사명, 서울 허튼 궁리 못 하게&quot;",https://www.ytn.co.kr/_ln/0101_202405171144226571,https://n.news.naver.com/mnews/article/052/0002036578?sid=100,북한의 주장에 <b>정부</b>도 주목하고 있는데요. 북러 사이 무기 거래는 이미 드러났다며 이를 당장 중단하라고 촉구했습니다. [김인애 / 통일부 부대변인 : 러시아와 북한 간 무기 거래가 백일하에 드러났음에도 여전히 북한은... ,"Fri, 17 May 2024 11:44:00 +0900"
김병환 기재부 차관 “김 매점매석 점검… 봄배추 추가 비축”,https://biz.chosun.com/policy/policy_sub/2024/05/17/IGCIFWCK45HYLJTIVIMH36AW4E/?utm_source=naver&utm_medium=original&utm_campaign=biz,https://n.news.naver.com/mnews/article/366/0000993190?sid=101,"기획재<b>정부</b> 1차관이 “가격이 강세인 김에 대해서 매점매석, 판매기피 행위 등을 점검하면서 유통 교란 행위가 발견될 경우 엄정 대응하겠다”고 밝혔다. 김 차관은 17일 <b>정부</b>세종청사에서 일자리전담반(TF) 및... ","Fri, 17 May 2024 11:43:00 +0900"
